x,s,v,rho_over_rho0
6.421375145005060376e-07,2.282753367003554905e-06,-4.733215801512863585e+00,9.999999999999498179e-01
6.470677922643340690e-07,2.300280155131472571e-06,-4.733215801512858256e+00,9.999999999999452660e-01
6.520359242856686825e-07,2.317941512462757493e-06,-4.733215801512852039e+00,9.999999999999413802e-01
6.570422012063112883e-07,2.335738472208420231e-06,-4.733215801512845822e+00,9.999999999999362732e-01
6.620869158995869484e-07,2.353672075512380859e-06,-4.733215801512838716e+00,9.999999999999313882e-01
6.671703634874755124e-07,2.371743371512368093e-06,-4.733215801512831611e+00,9.999999999999260591e-01
6.722928413578831488e-07,2.389953417401317319e-06,-4.733215801512824505e+00,9.999999999999208411e-01
6.774546491820310838e-07,2.408303278489187485e-06,-4.733215801512816512e+00,9.999999999999154010e-01
6.826560889319921485e-07,2.426794028265301877e-06,-4.733215801512808518e+00,9.999999999999092948e-01
6.878974648983541685e-07,2.445426748461141211e-06,-4.733215801512800525e+00,9.999999999999035216e-01
6.931790837080263962e-07,2.464202529113641982e-06,-4.733215801512792531e+00,9.999999999998974154e-01
6.985012543421698222e-07,2.483122468628939508e-06,-4.733215801512784537e+00,9.999999999998911981e-01
7.038642881542779404e-07,2.502187673846642482e-06,-4.733215801512774767e+00,9.999999999998844258e-01
7.092684988883900741e-07,2.521399260104581862e-06,-4.733215801512764997e+00,9.999999999998777644e-01
7.147142026974446738e-07,2.540758351304053589e-06,-4.733215801512756116e+00,9.999999999998706590e-01
7.202017181617798936e-07,2.560266079975587303e-06,-4.733215801512746346e+00,9.999999999998633315e-01
7.257313663077629160e-07,2.579923587345172462e-06,-4.733215801512735688e+00,9.999999999998558931e-01
7.313034706265753427e-07,2.599732023401040540e-06,-4.733215801512725918e+00,9.999999999998484546e-01
7.369183570931355933e-07,2.619692546960929178e-06,-4.733215801512714371e+00,9.999999999998404610e-01
7.425763541851745101e-07,2.639806325739899037e-06,-4.733215801512703713e+00,9.999999999998324673e-01
7.482777929024431016e-07,2.660074536418611848e-06,-4.733215801512692167e+00,9.999999999998239186e-01
7.540230067860813267e-07,2.680498364712188686e-06,-4.733215801512679732e+00,9.999999999998154809e-01
7.598123319381307692e-07,2.701079005439573500e-06,-4.733215801512668186e+00,9.999999999998067102e-01
7.656461070411938494e-07,2.721817662593420952e-06,-4.733215801512655752e+00,9.999999999997974953e-01
7.715246733782549240e-07,2.742715549410560243e-06,-4.733215801512643317e+00,9.999999999997881694e-01
7.774483748526352178e-07,2.763773888442931581e-06,-4.733215801512629106e+00,9.999999999997785105e-01
7.834175580081185386e-07,2.784993911629132509e-06,-4.733215801512615784e+00,9.999999999997681854e-01
7.894325720492205633e-07,2.806376860366475851e-06,-4.733215801512602461e+00,9.999999999997586375e-01
7.954937688616250964e-07,2.827923985583633371e-06,-4.733215801512588250e+00,9.999999999997479794e-01
8.016015030327598767e-07,2.849636547813788929e-06,-4.733215801512573151e+00,9.999999999997377653e-01
8.077561318725463430e-07,2.871515817268395988e-06,-4.733215801512558940e+00,9.999999999997267741e-01
8.139580154343014430e-07,2.893563073911485704e-06,-4.733215801512543841e+00,9.999999999997154498e-01
