Xi,fb_core,eta,f_r,f_rho,eps,converged,nodes,method,valid
0.05,0.3,1.0,0.8230762176848159,1.5665824025625632,-0.7773914600529217,1,0,direct,1
0.05,0.3,1.5,0.8250092728457633,1.641997685903397,-1.0272079809008685,1,0,direct,1
0.05,0.3,2.0,0.8227866062504341,1.7122083743345906,-1.3992267111388663,1,0,direct,1
0.05,0.3,5.0,0.814192135352198,1.8811568913687051,-6.178840000144382,1,0,direct,1
0.05,0.4,0.1,0.618160470613717,2.079172760717644,-0.5099128334379824,1,0,direct,1
0.05,0.4,0.3,0.7153222630906731,1.8352529792776295,-0.5848146098270207,1,0,direct,1
0.05,0.4,0.5,0.7588534999149299,1.748358890736057,-0.6490230573808031,1,0,direct,1
0.05,0.4,1.0,0.7923396882318297,1.7585987397338032,-0.8554354395252153,1,0,direct,1
0.05,0.4,1.5,0.7961222138468208,1.847800995339726,-1.1982553005405754,1,0,direct,1
0.05,0.4,2.0,0.7945859233867233,1.929749287818308,-1.703450845607996,1,0,direct,1
0.05,0.4,5.0,0.7871130901133568,2.117598221445343,-8.099587119818255,1,0,direct,1
0.05,0.5,0.1,0.5614205261110049,2.523754672698428,-0.5118825476347265,1,0,direct,1
0.05,0.5,0.3,0.6735375693834984,2.117602903319389,-0.600017535317951,1,0,direct,1
0.05,0.5,0.5,0.7245773333826013,1.9760255467677053,-0.6793194893465831,1,0,direct,1
0.05,0.5,1.0,0.7650010204664969,1.96206046265278,-0.9433057845024655,1,0,direct,1
0.05,0.5,1.5,0.770769852235173,2.0582285034710845,-1.3812591776613128,1,0,direct,1
0.05,0.5,2.0,0.7701090227243824,2.1470627708634282,-2.0210883549907197,1,0,direct,1
0.05,0.5,5.0,0.7640852103594883,2.3449104490110173,-10.03562816762206,1,0,direct,1
0.05,0.8,0.1,0.439626753591614,4.616718860773165,-0.5970478935750915,1,0,direct,1
0.05,0.8,0.3,0.5761503954114376,3.2340463153807337,-0.7014580879325484,1,0,direct,1
0.05,0.8,0.5,0.6422552969333467,2.8022511427187133,-0.8183680651587694,1,0,direct,1
0.05,0.8,1.0,0.6989588637022828,2.623932365965566,-1.2558883435907717,1,0,direct,1
0.05,0.8,1.5,0.7104183813749645,2.7033458818355802,-1.9840429955367733,1,0,direct,1
0.05,0.8,2.0,0.7125324041480927,2.791060464373402,-3.0305502355804075,1,0,direct,1
0.05,0.8,5.0,0.7109458840499867,2.98614720306993,-15.902291874466078,1,0,direct,1
0.1,0.0,0.1,0.8816601549487519,1.164266993437355,-0.5830898190046507,1,0,direct,1
0.1,0.0,0.3,0.8816601549487519,1.164266993437355,-0.5830898190046507,1,0,direct,1
0.1,0.0,0.5,0.8816601549487519,1.164266993437355,-0.5830898190046507,1,0,direct,1
0.1,0.0,1.0,0.8816601549487519,1.164266993437355,-0.5830898190046507,1,0,direct,1
0.1,0.0,1.5,0.8816601549487519,1.164266993437355,-0.5830898190046507,1,0,direct,1
0.1,0.0,2.0,0.8816601549487519,1.164266993437355,-0.5830898190046507,1,0,direct,1
0.1,0.0,5.0,0.8816601549487519,1.164266993437355,-0.5830898190046507,1,0,direct,1
0.1,0.05,0.1,0.8355021658691266,1.2544819515057593,-0.5646587432894701,1,0,direct,1
0.1,0.05,0.3,0.8495874417005778,1.2417959309691393,-0.5748615973040858,1,0,direct,1
0.1,0.05,0.5,0.8559626539877296,1.2375659915132036,-0.5826857684614356,1,0,direct,1
0.1,0.05,1.0,0.8604696039368136,1.2451511342152066,-0.6052682379967933,1,0,direct,1
0.1,0.05,1.5,0.860308129404962,1.261857106453375,-0.6426397668580827,1,0,direct,1
0.1,0.05,2.0,0.8592805255625106,1.2790700850321708,-0.6997359179741662,1,0,direct,1
0.1,0.05,5.0,0.8552992171178418,1.3340028514690554,-1.4780883576414068,1,0,direct,1
